User1-Uo,User2-Uo,User3-Uo,User4-Uo,User5-Uo,User6-Uo,Non-daylit Sensor,User1-ill,User2-ill,User3-ill,User4-ill,User5-ill,User6-ill,LightingFraction-Non-daylit,LightingFractionZoneOne,LightingFractionZoneTwo,LightingFractionZoneThree,LightingZoneOne,LightingZoneTwo,LightingZoneThree,User1-Ev,User2-Ev,User3-Ev,User4-Ev,User5-Ev,User6-Ev,U5/6-Ps,U3/4-Ps,U1/2-Ps,ViewU56,ViewU34,ViewU12,DATE,Ps
0.81,0.59,0.82,0.83,0.75,0.36,978,363,458,979,1092,1045,1089,0.15,0.27,0.15,0.15,410.5,1035.5,1067,450,569,1351,1453,1483,1414,2,2,0,86.57,86.63,34.58,1/1/2020 8:00,Ps220
0.8,0.59,0.81,0.83,0.74,0.35,1131,425,536,1155,1290,1231,1286,0.15,0.15,0.15,0.15,480.5,1222.5,1258.5,529,670,1599,1722,1753,1675,2,2,0,86.57,86.63,34.58,1/1/2020 8:20,Ps220
0.8,0.58,0.81,0.83,0.74,0.35,1244,470,593,1281,1433,1366,1427,0.15,0.15,0.15,0.15,531.5,1357,1396.5,585,744,1775,1913,1945,1858,2,2,0,86.57,86.63,34.58,1/1/2020 8:40,Ps220
0.8,0.58,0.81,0.83,0.74,0.35,1344,510,644,1394,1562,1487,1555,0.15,0.15,0.15,0.15,577,1478,1521,637,809,1937,2089,2122,2028,2,2,0,86.57,86.63,34.58,1/1/2020 9:00,Ps220
0.8,0.58,0.81,0.83,0.74,0.34,1413,538,679,1474,1654,1572,1647,0.15,0.15,0.15,0.15,608.5,1564,1609.5,673,856,2055,2215,2248,2150,2,2,0,86.57,86.63,34.58,1/1/2020 9:20,Ps220
0.8,0.58,0.8,0.84,0.74,0.35,1559,600,756,1639,1833,1748,1818,0.15,0.15,0.15,0.15,678,1736,1783,745,951,2262,2439,2477,2359,2,2,0,86.57,86.63,34.58,1/1/2020 9:40,Ps220
0.79,0.59,0.8,0.82,0.73,0.33,1461,552,692,1531,1715,1621,1732,0.15,0.15,0.15,0.15,622,1623,1676.5,721,898,2217,2351,2394,2282,2,2,0,86.57,86.63,34.58,1/1/2020 10:00,Ps220
0.79,0.59,0.8,0.82,0.73,0.33,1369,514,644,1428,1600,1512,1621,0.15,0.15,0.15,0.15,579,1514,1566.5,676,838,2085,2206,2247,2141,2,2,0,86.57,86.63,34.58,1/1/2020 10:20,Ps220
0.79,0.59,0.8,0.82,0.72,0.32,1862,707,888,1976,2221,2093,2248,0.15,0.15,0.15,0.15,797.5,2098.5,2170.5,933,1161,2900,3073,3124,2982,2,2,0,86.57,86.63,34.58,1/1/2020 10:40,Ps220
0.79,0.59,0.79,0.83,0.73,0.33,1889,729,915,2023,2288,2155,2302,0.15,0.15,0.15,0.15,822,2155.5,2228.5,948,1194,2945,3146,3183,3053,2,2,0,86.57,86.63,34.58,1/1/2020 11:00,Ps220
0.79,0.59,0.8,0.82,0.73,0.33,1421,531,667,1477,1672,1570,1695,0.15,0.15,0.15,0.15,599,1574.5,1632.5,700,873,2188,2324,2358,2263,2,2,0,86.57,86.63,34.58,1/1/2020 11:20,Ps220
0.79,0.59,0.8,0.81,0.73,0.32,1546,575,722,1619,1819,1711,1858,0.15,0.15,0.15,0.15,648.5,1719,1784.5,774,953,2432,2557,2603,2483,2,2,0,86.57,86.63,34.58,1/1/2020 11:40,Ps220
0.79,0.59,0.79,0.82,0.72,0.32,1659,630,790,1758,1984,1866,2017,0.15,0.15,0.15,0.15,710,1871,1941.5,844,1048,2639,2787,2824,2708,2,2,0,86.57,86.63,34.58,1/1/2020 12:00,Ps220
0.79,0.59,0.79,0.82,0.72,0.32,1603,607,761,1695,1905,1796,1940,0.15,0.15,0.15,0.15,684,1800,1868,817,1011,2548,2682,2722,2605,2,2,0,86.57,86.63,34.58,1/1/2020 12:20,Ps220
0.79,0.6,0.8,0.81,0.73,0.32,1543,571,717,1614,1813,1705,1858,0.15,0.15,0.15,0.15,644,1713.5,1781.5,777,951,2448,2565,2613,2491,2,2,0,86.57,86.63,34.58,1/1/2020 12:40,Ps220
0.79,0.6,0.8,0.81,0.73,0.32,1436,531,667,1499,1681,1583,1722,0.15,0.15,0.15,0.15,599,1590,1652.5,720,882,2264,2373,2418,2303,2,2,0,86.57,86.63,34.58,1/1/2020 13:00,Ps220
0.79,0.6,0.8,0.81,0.73,0.32,1382,513,644,1442,1615,1524,1652,0.15,0.15,0.15,0.15,578.5,1528.5,1588,692,848,2165,2270,2315,2202,2,2,0,86.57,86.63,34.58,1/1/2020 13:20,Ps220
0.79,0.6,0.79,0.82,0.72,0.33,1656,638,800,1773,1961,1873,1991,0.15,0.15,0.15,0.15,719,1867,1932,851,1047,2614,2732,2789,2631,2,2,0,86.57,86.63,34.58,1/1/2020 13:40,Ps220
0.79,0.6,0.8,0.81,0.73,0.33,1476,553,694,1548,1728,1635,1760,0.15,0.15,0.15,0.15,623.5,1638,1697.5,740,909,2296,2409,2458,2332,2,2,0,86.57,86.63,34.58,1/1/2020 14:00,Ps220
0.8,0.6,0.79,0.82,0.72,0.33,1570,607,760,1675,1843,1770,1862,0.15,0.15,0.15,0.15,683.5,1759,1816,796,982,2419,2529,2589,2426,2,2,0,86.57,86.63,34.58,1/1/2020 14:20,Ps220
0.8,0.6,0.79,0.82,0.73,0.34,1438,553,691,1518,1670,1605,1685,0.15,0.15,0.15,0.15,622,1594,1645,720,888,2180,2279,2336,2184,2,2,0,86.57,86.63,34.58,1/1/2020 14:40,Ps220
0.79,0.59,0.8,0.82,0.73,0.33,1203,454,568,1255,1396,1327,1414,0.15,0.15,0.15,0.15,511,1325.5,1370.5,596,736,1821,1917,1959,1854,2,2,0,86.57,86.63,34.58,1/1/2020 15:00,Ps220
0.79,0.6,0.8,0.82,0.73,0.34,1317,501,626,1382,1534,1461,1550,0.15,0.15,0.15,0.15,563.5,1458,1505.5,655,810,1991,2096,2142,2023,2,2,0,86.57,86.63,34.58,1/1/2020 15:20,Ps220
0.79,0.6,0.8,0.83,0.72,0.34,1316,503,628,1382,1532,1462,1545,0.15,0.15,0.15,0.15,565.5,1457,1503.5,654,810,1979,2085,2131,2010,2,2,0,86.57,86.63,34.58,1/1/2020 15:40,Ps220
0.79,0.6,0.8,0.83,0.73,0.34,1160,443,553,1215,1346,1285,1356,0.15,0.15,0.15,0.15,498,1280.5,1320.5,574,712,1731,1826,1867,1761,2,2,0,86.57,86.63,34.58,1/1/2020 16:00,Ps220
0.79,0.6,0.8,0.83,0.73,0.34,1168,448,559,1224,1355,1296,1362,0.15,0.15,0.15,0.15,503.5,1289.5,1329,578,718,1736,1832,1873,1764,2,2,0,86.57,86.63,34.58,1/1/2020 16:20,Ps220
0.8,0.6,0.8,0.83,0.73,0.34,897,342,427,934,1035,989,1041,0.15,0.31,0.15,0.15,384.5,984.5,1015,441,547,1323,1398,1429,1349,2,2,0,86.57,86.63,34.58,1/1/2020 16:40,Ps220
0.8,0.6,0.8,0.83,0.73,0.34,832,317,395,864,957,915,962,0.15,0.36,0.15,0.15,356,910.5,938.5,408,507,1222,1291,1321,1245,2,2,0,86.57,86.63,34.58,1/1/2020 17:00,Ps220
0.79,0.59,0.81,0.83,0.73,0.34,927,351,441,961,1073,1020,1076,0.15,0.29,0.15,0.15,396,1017,1048,448,562,1355,1445,1474,1403,2,2,0,86.57,86.63,34.58,1/2/2020 8:00,Ps220
0.79,0.59,0.81,0.83,0.73,0.34,739,279,349,763,851,809,856,0.15,0.44,0.15,0.15,314,807,832.5,359,447,1083,1150,1174,1115,2,2,0,86.57,86.63,34.58,1/2/2020 8:20,Ps220
0.79,0.59,0.81,0.83,0.73,0.34,1044,396,496,1085,1211,1151,1217,0.15,0.2,0.15,0.15,446,1148,1184,508,635,1539,1638,1669,1588,2,2,0,86.57,86.63,34.58,1/2/2020 8:40,Ps220
0.8,0.58,0.81,0.83,0.74,0.35,1147,428,541,1171,1314,1248,1312,0.15,0.15,0.15,0.15,484.5,1242.5,1280,536,679,1637,1764,1794,1717,2,2,0,86.57,86.63,34.58,1/2/2020 9:00,Ps220
0.79,0.59,0.8,0.83,0.73,0.33,1623,622,781,1715,1921,1820,1926,0.15,0.15,0.15,0.15,701.5,1818,1873,798,1003,2438,2603,2648,2525,2,2,0,86.57,86.63,34.58,1/2/2020 9:20,Ps220
0.79,0.59,0.8,0.83,0.73,0.33,1435,545,683,1505,1684,1594,1696,0.15,0.15,0.15,0.15,614,1594.5,1645,706,882,2160,2296,2338,2227,2,2,0,86.57,86.63,34.58,1/2/2020 9:40,Ps220
0.79,0.59,0.8,0.83,0.73,0.33,1522,577,723,1599,1791,1694,1807,0.15,0.15,0.15,0.15,650,1695,1750.5,752,937,2310,2452,2497,2379,2,2,0,86.57,86.63,34.58,1/2/2020 10:00,Ps220
0.79,0.58,0.8,0.84,0.73,0.34,1955,759,954,2087,2346,2227,2336,0.15,0.15,0.15,0.15,856.5,2216.5,2281.5,957,1219,2934,3155,3197,3052,2,2,0,86.57,86.63,34.58,1/2/2020 10:20,Ps220
