User1-Uo,User2-Uo,User3-Uo,User4-Uo,User5-Uo,User6-Uo,Non-daylit Sensor,User1-ill,User2-ill,User3-ill,User4-ill,User5-ill,User6-ill,LightingFraction-Non-daylit,LightingFractionZoneOne,LightingFractionZoneTwo,LightingFractionZoneThree,LightingZoneOne,LightingZoneTwo,LightingZoneThree,User1-Ev,User2-Ev,User3-Ev,User4-Ev,User5-Ev,User6-Ev,U5/6-Ps,U3/4-Ps,U1/2-Ps,ViewU56,ViewU34,ViewU12,DATE,Ps
0.78,0.75,0.73,0.6,0.81,0.35,675,980,1045,526,592,1306,1339,0.15,0.15,0.15,0.15,1012.5,559,1322.5,1396,1288,636,720,1724,1768,4,0,2,93.33,34.58,86.63,1/1/2020 8:00,Ps402
0.77,0.75,0.73,0.6,0.81,0.34,784,1153,1235,617,695,1542,1589,0.15,0.15,0.15,0.15,1194,656,1565.5,1649,1526,753,849,2047,2095,4,0,2,93.33,34.58,86.63,1/1/2020 8:20,Ps402
0.77,0.75,0.73,0.6,0.81,0.34,864,1278,1372,685,771,1709,1766,0.15,0.15,0.15,0.15,1325,728,1737.5,1827,1694,836,943,2273,2323,4,0,2,93.33,34.58,86.63,1/1/2020 8:40,Ps402
0.77,0.75,0.73,0.6,0.81,0.34,933,1390,1496,743,836,1861,1929,0.15,0.15,0.15,0.15,1443,789.5,1895,1992,1850,911,1026,2486,2536,4,0,2,93.33,34.58,86.63,1/1/2020 9:00,Ps402
0.77,0.75,0.73,0.6,0.81,0.33,981,1469,1584,784,883,1967,2045,0.15,0.15,0.15,0.15,1526.5,833.5,2006,2109,1962,965,1084,2637,2688,4,0,2,93.33,34.58,86.63,1/1/2020 9:20,Ps402
0.76,0.75,0.73,0.61,0.81,0.34,1083,1630,1748,879,984,2163,2245,0.15,0.15,0.15,0.15,1689,931.5,2204,2314,2162,1072,1203,2884,2941,4,0,2,93.33,34.58,86.63,1/1/2020 9:40,Ps402
0.76,0.75,0.74,0.62,0.81,0.32,976,1516,1648,798,899,2081,2146,0.15,0.15,0.15,0.15,1582,848.5,2113.5,2261,2098,1027,1129,2848,2899,4,0,2,93.33,34.58,86.63,1/1/2020 10:00,Ps402
0.76,0.76,0.74,0.62,0.81,0.32,908,1416,1541,740,835,1950,2009,0.15,0.15,0.15,0.15,1478.5,787.5,1979.5,2127,1969,960,1052,2680,2728,4,0,2,93.33,34.58,86.63,1/1/2020 10:20,Ps402
0.75,0.75,0.74,0.61,0.81,0.31,1241,1956,2138,1022,1153,2701,2799,0.15,0.15,0.15,0.15,2047,1087.5,2750,2953,2742,1333,1459,3736,3797,4,0,2,93.33,34.58,86.63,1/1/2020 10:40,Ps402
0.75,0.75,0.74,0.61,0.8,0.31,1279,2010,2200,1061,1193,2735,2871,0.15,0.15,0.15,0.15,2105,1127,2803,2993,2799,1362,1499,3796,3854,4,0,2,93.33,34.58,86.63,1/1/2020 11:00,Ps402
0.76,0.75,0.74,0.61,0.81,0.32,942,1474,1617,765,864,2019,2114,0.15,0.15,0.15,0.15,1545.5,814.5,2066.5,2233,2071,993,1090,2823,2871,4,0,2,93.33,34.58,86.63,1/1/2020 11:20,Ps402
0.75,0.75,0.74,0.61,0.81,0.31,1007,1607,1761,822,932,2244,2314,0.15,0.15,0.15,0.15,1684,877,2279,2480,2282,1094,1192,3135,3187,4,0,2,93.33,34.58,86.63,1/1/2020 11:40,Ps402
0.75,0.75,0.74,0.62,0.8,0.31,1093,1745,1913,909,1025,2409,2500,0.15,0.15,0.15,0.15,1829,967,2454.5,2674,2487,1202,1308,3390,3442,4,0,2,93.33,34.58,86.63,1/1/2020 12:00,Ps402
0.74,0.75,0.74,0.62,0.8,0.31,1052,1680,1837,875,986,2324,2395,0.15,0.15,0.15,0.15,1758.5,930.5,2359.5,2580,2395,1161,1260,3263,3315,4,0,2,93.33,34.58,86.63,1/1/2020 12:20,Ps402
0.75,0.75,0.74,0.62,0.81,0.31,998,1603,1757,814,924,2251,2313,0.15,0.15,0.15,0.15,1680,869,2282,2496,2290,1094,1188,3156,3208,4,0,2,93.33,34.58,86.63,1/1/2020 12:40,Ps402
0.75,0.76,0.74,0.62,0.81,0.31,929,1489,1629,758,860,2087,2141,0.15,0.15,0.15,0.15,1559,809,2114,2310,2118,1014,1103,2916,2965,4,0,2,93.33,34.58,86.63,1/1/2020 13:00,Ps402
0.75,0.76,0.74,0.62,0.81,0.32,897,1432,1563,733,831,2001,2049,0.15,0.15,0.15,0.15,1497.5,782,2025,2209,2027,974,1061,2784,2831,4,0,2,93.33,34.58,86.63,1/1/2020 13:20,Ps402
0.74,0.76,0.74,0.63,0.79,0.32,1094,1746,1878,921,1038,2419,2431,0.15,0.15,0.15,0.15,1812,979.5,2425,2645,2440,1210,1314,3314,3366,4,0,2,93.33,34.58,86.63,1/1/2020 13:40,Ps402
0.75,0.76,0.74,0.62,0.8,0.32,965,1533,1665,794,898,2133,2176,0.15,0.15,0.15,0.15,1599,846,2154.5,2338,2152,1047,1141,2943,2993,4,0,2,93.33,34.58,86.63,1/1/2020 14:00,Ps402
0.74,0.76,0.74,0.63,0.79,0.33,1046,1648,1758,878,989,2270,2265,0.15,0.15,0.15,0.15,1703,933.5,2267.5,2453,2259,1134,1238,3059,3106,4,0,2,93.33,34.58,86.63,1/1/2020 14:20,Ps402
0.74,0.76,0.74,0.63,0.79,0.33,958,1496,1592,798,900,2057,2049,0.15,0.15,0.15,0.15,1544,849,2053,2216,2036,1023,1122,2756,2801,4,0,2,93.33,34.58,86.63,1/1/2020 14:40,Ps402
0.75,0.76,0.74,0.62,0.8,0.33,795,1242,1339,654,737,1709,1739,0.15,0.15,0.15,0.15,1290.5,695.5,1724,1854,1713,846,926,2327,2369,4,0,2,93.33,34.58,86.63,1/1/2020 15:00,Ps402
0.75,0.76,0.74,0.63,0.8,0.33,875,1364,1467,724,814,1875,1901,0.15,0.15,0.15,0.15,1415.5,769,1888,2025,1874,932,1021,2539,2584,4,0,2,93.33,34.58,86.63,1/1/2020 15:20,Ps402
0.75,0.76,0.74,0.63,0.8,0.33,878,1363,1463,728,818,1869,1892,0.15,0.15,0.15,0.15,1413,773,1880.5,2011,1864,933,1023,2520,2565,4,0,2,93.33,34.58,86.63,1/1/2020 15:40,Ps402
0.75,0.76,0.74,0.63,0.8,0.33,776,1199,1284,642,721,1638,1659,0.15,0.15,0.15,0.15,1241.5,681.5,1648.5,1760,1633,818,899,2203,2244,4,0,2,93.33,34.58,86.63,1/1/2020 16:00,Ps402
0.75,0.76,0.74,0.63,0.8,0.33,783,1208,1291,650,729,1646,1664,0.15,0.15,0.15,0.15,1249.5,689.5,1655,1765,1638,825,908,2206,2247,4,0,2,93.33,34.58,86.63,1/1/2020 16:20,Ps402
0.75,0.76,0.74,0.63,0.8,0.33,601,922,987,495,556,1255,1271,0.15,0.15,0.15,0.15,954.5,525.5,1263,1347,1250,628,691,1683,1715,4,0,2,93.33,34.58,86.63,1/1/2020 16:40,Ps402
0.75,0.76,0.74,0.63,0.8,0.34,557,854,912,459,516,1160,1175,0.15,0.15,0.15,0.15,883,487.5,1167.5,1244,1154,581,640,1553,1583,4,0,2,93.33,34.58,86.63,1/1/2020 17:00,Ps402
0.76,0.76,0.74,0.61,0.81,0.33,630,953,1027,510,573,1289,1325,0.15,0.15,0.15,0.15,990,541.5,1307,1385,1289,640,709,1734,1769,4,0,2,93.33,34.58,86.63,1/2/2020 8:00,Ps402
