User1-Uo,User2-Uo,User3-Uo,User4-Uo,User5-Uo,User6-Uo,Non-daylit Sensor,User1-ill,User2-ill,User3-ill,User4-ill,User5-ill,User6-ill,LightingFraction-Non-daylit,LightingFractionZoneOne,LightingFractionZoneTwo,LightingFractionZoneThree,LightingZoneOne,LightingZoneTwo,LightingZoneThree,User1-Ev,User2-Ev,User3-Ev,User4-Ev,User5-Ev,User6-Ev,U5/6-Ps,U3/4-Ps,U1/2-Ps,ViewU56,ViewU34,ViewU12,DATE,Ps
0.77,0.57,0.83,0.78,0.8,0.37,1093,384,476,1048,1157,1397,1424,0.15,0.23,0.15,0.15,430,1102.5,1410.5,462,593,1382,1570,1888,1842,4,2,0,93.33,86.63,34.58,1/1/2020 8:00,Ps420
0.77,0.57,0.83,0.78,0.81,0.36,1266,450,558,1235,1369,1646,1684,0.15,0.15,0.15,0.15,504,1302,1665,543,699,1635,1864,2239,2182,4,2,0,93.33,86.63,34.58,1/1/2020 8:20,Ps420
0.76,0.57,0.83,0.78,0.81,0.36,1392,498,618,1370,1521,1824,1868,0.15,0.15,0.15,0.15,558,1445.5,1846,601,774,1814,2072,2485,2419,4,2,0,93.33,86.63,34.58,1/1/2020 8:40,Ps420
0.76,0.57,0.82,0.78,0.81,0.35,1504,540,671,1491,1659,1985,2037,0.15,0.15,0.15,0.15,605.5,1575,2011,654,842,1980,2264,2715,2641,4,2,0,93.33,86.63,34.58,1/1/2020 9:00,Ps420
0.76,0.57,0.82,0.78,0.81,0.35,1581,570,707,1577,1756,2097,2156,0.15,0.15,0.15,0.15,638.5,1666.5,2126.5,691,890,2099,2401,2879,2799,4,2,0,93.33,86.63,34.58,1/1/2020 9:20,Ps420
0.76,0.57,0.82,0.79,0.81,0.35,1735,635,786,1752,1947,2315,2366,0.15,0.15,0.15,0.15,710.5,1849.5,2340.5,765,986,2311,2645,3153,3061,4,2,0,93.33,86.63,34.58,1/1/2020 9:40,Ps420
0.75,0.57,0.82,0.78,0.79,0.34,1611,585,717,1632,1816,2211,2260,0.15,0.15,0.15,0.15,651,1724,2235.5,736,926,2261,2533,3096,3024,4,2,0,93.33,86.63,34.58,1/1/2020 10:00,Ps420
0.75,0.57,0.82,0.77,0.79,0.34,1507,545,667,1523,1693,2070,2117,0.15,0.15,0.15,0.15,606,1608,2093.5,690,864,2125,2372,2911,2847,4,2,0,93.33,86.63,34.58,1/1/2020 10:20,Ps420
0.75,0.57,0.82,0.77,0.79,0.33,2052,751,919,2107,2351,2866,2939,0.15,0.15,0.15,0.15,835,2229,2902.5,952,1196,2954,3309,4055,3962,4,2,0,93.33,86.63,34.58,1/1/2020 10:40,Ps420
0.75,0.57,0.81,0.78,0.8,0.33,2089,773,949,2166,2426,2910,3000,0.15,0.15,0.15,0.15,861,2296,2955,969,1225,3007,3397,4116,4020,4,2,0,93.33,86.63,34.58,1/1/2020 11:00,Ps420
0.75,0.57,0.82,0.77,0.8,0.33,1571,564,690,1584,1767,2142,2213,0.15,0.15,0.15,0.15,627,1675.5,2177.5,715,897,2232,2500,3058,2995,4,2,0,93.33,86.63,34.58,1/1/2020 11:20,Ps420
0.75,0.57,0.82,0.76,0.79,0.33,1696,611,745,1728,1917,2372,2433,0.15,0.15,0.15,0.15,678,1822.5,2402.5,789,981,2471,2739,3397,3329,4,2,0,93.33,86.63,34.58,1/1/2020 11:40,Ps420
0.75,0.57,0.81,0.77,0.79,0.33,1819,668,815,1879,2095,2558,2619,0.15,0.15,0.15,0.15,741.5,1987,2588.5,860,1069,2688,2990,3667,3598,4,2,0,93.33,86.63,34.58,1/1/2020 12:00,Ps420
0.75,0.57,0.81,0.77,0.78,0.33,1753,644,785,1809,2011,2468,2515,0.15,0.15,0.15,0.15,714.5,1910,2491.5,831,1030,2593,2874,3532,3467,4,2,0,93.33,86.63,34.58,1/1/2020 12:20,Ps420
0.75,0.57,0.82,0.76,0.79,0.33,1689,608,740,1723,1908,2376,2435,0.15,0.15,0.15,0.15,674,1815.5,2405.5,791,978,2485,2743,3417,3352,4,2,0,93.33,86.63,34.58,1/1/2020 12:40,Ps420
0.75,0.57,0.82,0.76,0.79,0.33,1572,565,688,1600,1770,2204,2255,0.15,0.15,0.15,0.15,626.5,1685,2229.5,733,908,2299,2538,3160,3099,4,2,0,93.33,86.63,34.58,1/1/2020 13:00,Ps420
0.75,0.57,0.82,0.76,0.79,0.33,1513,545,664,1539,1701,2116,2161,0.15,0.15,0.15,0.15,604.5,1620,2138.5,704,873,2199,2429,3019,2959,4,2,0,93.33,86.63,34.58,1/1/2020 13:20,Ps420
