User1-Uo,User2-Uo,User3-Uo,User4-Uo,User5-Uo,User6-Uo,Non-daylit Sensor,User1-ill,User2-ill,User3-ill,User4-ill,User5-ill,User6-ill,LightingFraction-Non-daylit,LightingFractionZoneOne,LightingFractionZoneTwo,LightingFractionZoneThree,LightingZoneOne,LightingZoneTwo,LightingZoneThree,User1-Ev,User2-Ev,User3-Ev,User4-Ev,User5-Ev,User6-Ev,U5/6-Ps,U3/4-Ps,U1/2-Ps,ViewU56,ViewU34,ViewU12,DATE,Ps
0.8,0.83,0.8,0.75,0.64,0.81,804,1014,1079,1003,978,369,327,0.15,0.15,0.15,0.38,1046.5,990.5,348,966,852,913,890,246,357,0,8,8,34.55,86.54,86.54,1/1/2020 8:00,Ps088
0.79,0.83,0.8,0.75,0.64,0.81,930,1195,1279,1184,1157,433,383,0.15,0.15,0.15,0.27,1237,1170.5,408,1126,993,1066,1037,285,414,0,8,8,34.55,86.54,86.54,1/1/2020 8:20,Ps088
0.79,0.83,0.8,0.74,0.64,0.8,1024,1324,1422,1314,1285,480,424,0.15,0.15,0.15,0.19,1373,1299.5,452,1244,1098,1177,1148,313,458,0,8,8,34.55,86.54,86.54,1/1/2020 8:40,Ps088
0.79,0.83,0.8,0.74,0.64,0.8,1106,1441,1552,1431,1401,520,461,0.15,0.15,0.15,0.15,1496.5,1416,490.5,1344,1186,1273,1240,338,494,0,8,8,34.55,86.54,86.54,1/1/2020 9:00,Ps088
0.79,0.82,0.79,0.73,0.64,0.8,1163,1523,1645,1513,1484,548,486,0.15,0.15,0.15,0.15,1584,1498.5,517,1411,1245,1337,1303,354,518,0,8,8,34.55,86.54,86.54,1/1/2020 9:20,Ps088
0.78,0.82,0.79,0.74,0.64,0.8,1289,1678,1810,1672,1633,613,541,0.15,0.15,0.15,0.15,1744,1652.5,577,1554,1395,1471,1464,394,580,0,8,8,34.55,86.54,86.54,1/1/2020 9:40,Ps088
0.77,0.81,0.8,0.73,0.64,0.78,1200,1609,1711,1584,1557,553,499,0.15,0.15,0.15,0.15,1660,1570.5,526,1380,1215,1310,1280,350,504,0,8,8,34.55,86.54,86.54,1/1/2020 10:00,Ps088
0.77,0.8,0.79,0.73,0.64,0.79,1121,1507,1599,1481,1457,513,464,0.15,0.15,0.15,0.15,1553,1469,488.5,1280,1124,1216,1182,325,466,0,8,8,34.55,86.54,86.54,1/1/2020 10:20,Ps088
0.76,0.81,0.8,0.72,0.64,0.78,1527,2085,2225,2054,2024,709,640,0.15,0.15,0.15,0.15,2155,2039,674.5,1755,1544,1669,1625,441,638,0,8,8,34.55,86.54,86.54,1/1/2020 10:40,Ps088
0.76,0.83,0.8,0.71,0.64,0.79,1550,2116,2283,2095,2069,732,661,0.15,0.15,0.15,0.15,2199.5,2082,696.5,1821,1608,1734,1693,459,669,0,8,8,34.55,86.54,86.54,1/1/2020 11:00,Ps088
0.77,0.8,0.79,0.72,0.64,0.79,1159,1563,1675,1538,1524,527,481,0.15,0.15,0.15,0.15,1619,1531,504,1331,1155,1268,1211,334,483,0,8,8,34.55,86.54,86.54,1/1/2020 11:20,Ps088
