User1-Uo,User2-Uo,User3-Uo,User4-Uo,User5-Uo,User6-Uo,Non-daylit Sensor,User1-ill,User2-ill,User3-ill,User4-ill,User5-ill,User6-ill,LightingFraction-Non-daylit,LightingFractionZoneOne,LightingFractionZoneTwo,LightingFractionZoneThree,LightingZoneOne,LightingZoneTwo,LightingZoneThree,User1-Ev,User2-Ev,User3-Ev,User4-Ev,User5-Ev,User6-Ev,U5/6-Ps,U3/4-Ps,U1/2-Ps,ViewU56,ViewU34,ViewU12,DATE,Ps
0.77,0.51,0.8,0.85,0.8,0.37,1069,395,523,1227,1383,1317,1335,0.15,0.18,0.15,0.15,459,1305,1326,458,653,1564,1739,1704,1619,8,8,0,86.44,86.54,34.58,1/1/2020 8:00,Ps880
0.77,0.51,0.79,0.85,0.81,0.36,1238,464,615,1447,1639,1553,1580,0.15,0.15,0.15,0.15,539.5,1543,1566.5,538,772,1846,2057,2015,1915,8,8,0,86.44,86.54,34.58,1/1/2020 8:20,Ps880
0.77,0.51,0.79,0.85,0.81,0.36,1363,514,682,1605,1820,1722,1754,0.15,0.15,0.15,0.15,598,1712.5,1738,595,857,2045,2281,2235,2124,8,8,0,86.44,86.54,34.58,1/1/2020 8:40,Ps880
0.76,0.51,0.79,0.85,0.81,0.36,1473,558,740,1746,1987,1874,1914,0.15,0.15,0.15,0.15,649,1866.5,1894,647,934,2230,2488,2437,2317,8,8,0,86.44,86.54,34.58,1/1/2020 9:00,Ps880
0.76,0.51,0.79,0.84,0.82,0.35,1550,590,780,1846,2105,1980,2028,0.15,0.15,0.15,0.15,685,1975.5,2004,683,988,2361,2636,2581,2455,8,8,0,86.44,86.54,34.58,1/1/2020 9:20,Ps880
0.76,0.51,0.78,0.84,0.81,0.36,1709,658,868,2035,2316,2191,2230,0.15,0.15,0.15,0.15,763,2175.5,2210.5,757,1092,2590,2896,2837,2694,8,8,0,86.44,86.54,34.58,1/1/2020 9:40,Ps880
0.75,0.52,0.78,0.82,0.78,0.34,1592,605,788,1929,2204,2074,2142,0.15,0.15,0.15,0.15,696.5,2066.5,2108,734,1020,2540,2824,2763,2631,8,8,0,86.44,86.54,34.58,1/1/2020 10:00,Ps880
0.75,0.52,0.78,0.81,0.78,0.34,1489,563,732,1804,2063,1938,2007,0.15,0.15,0.15,0.15,647.5,1933.5,1972.5,688,951,2389,2652,2594,2470,8,8,0,86.44,86.54,34.58,1/1/2020 10:20,Ps880
0.75,0.52,0.77,0.81,0.79,0.33,2029,777,1011,2499,2868,2685,2789,0.15,0.15,0.15,0.15,894,2683.5,2737,948,1321,3314,3687,3607,3439,8,8,0,86.44,86.54,34.58,1/1/2020 10:40,Ps880
0.75,0.51,0.77,0.82,0.81,0.33,2064,805,1048,2549,2936,2738,2851,0.15,0.15,0.15,0.15,926.5,2742.5,2794.5,960,1362,3363,3757,3668,3509,8,8,0,86.44,86.54,34.58,1/1/2020 11:00,Ps880
0.75,0.51,0.78,0.81,0.8,0.33,1547,584,758,1874,2159,2005,2100,0.15,0.15,0.15,0.15,671,2016.5,2052.5,709,993,2504,2786,2716,2599,8,8,0,86.44,86.54,34.58,1/1/2020 11:20,Ps880
0.75,0.52,0.77,0.78,0.78,0.33,1673,630,815,2061,2368,2209,2311,0.15,0.15,0.15,0.15,722.5,2214.5,2260,788,1077,2780,3078,3006,2867,8,8,0,86.44,86.54,34.58,1/1/2020 11:40,Ps880
0.75,0.52,0.76,0.8,0.78,0.33,1800,694,897,2226,2559,2395,2499,0.15,0.15,0.15,0.15,795.5,2392.5,2447,856,1183,3014,3354,3267,3127,8,8,0,86.44,86.54,34.58,1/1/2020 12:00,Ps880
0.75,0.52,0.76,0.8,0.77,0.33,1737,669,862,2144,2457,2310,2403,0.15,0.15,0.15,0.15,765.5,2300.5,2356.5,830,1137,2911,3236,3151,3013,8,8,0,86.44,86.54,34.58,1/1/2020 12:20,Ps880
0.74,0.52,0.76,0.77,0.78,0.33,1666,625,808,2061,2368,2208,2314,0.15,0.15,0.15,0.15,716.5,2214.5,2261,791,1072,2798,3093,3020,2879,8,8,0,86.44,86.54,34.58,1/1/2020 12:40,Ps880
0.75,0.52,0.76,0.77,0.78,0.33,1550,581,752,1911,2194,2048,2143,0.15,0.15,0.15,0.15,666.5,2052.5,2095.5,734,994,2590,2862,2794,2662,8,8,0,86.44,86.54,34.58,1/1/2020 13:00,Ps880
0.75,0.52,0.76,0.77,0.77,0.33,1493,561,726,1834,2103,1968,2053,0.15,0.15,0.15,0.15,643.5,1968.5,2010.5,705,955,2477,2738,2674,2546,8,8,0,86.44,86.54,34.58,1/1/2020 13:20,Ps880
0.75,0.53,0.76,0.8,0.74,0.34,1788,699,905,2225,2527,2414,2467,0.15,0.15,0.15,0.15,802,2376,2440.5,873,1169,2998,3316,3240,3072,8,8,0,86.44,86.54,34.58,1/1/2020 13:40,Ps880
0.75,0.52,0.77,0.79,0.77,0.33,1596,605,784,1959,2239,2109,2184,0.15,0.15,0.15,0.15,694.5,2099,2146.5,756,1023,2628,2907,2842,2702,8,8,0,86.44,86.54,34.58,1/1/2020 14:00,Ps880
0.76,0.53,0.76,0.82,0.73,0.34,1695,664,862,2093,2368,2273,2304,0.15,0.15,0.15,0.15,763,2230.5,2288.5,822,1093,2783,3070,3006,2837,8,8,0,86.44,86.54,34.58,1/1/2020 14:20,Ps880
0.76,0.53,0.76,0.81,0.73,0.35,1551,603,784,1897,2144,2057,2084,0.15,0.15,0.15,0.15,693.5,2020.5,2070.5,745,987,2511,2765,2711,2553,8,8,0,86.44,86.54,34.58,1/1/2020 14:40,Ps880
0.75,0.53,0.77,0.81,0.76,0.34,1304,496,644,1577,1795,1702,1748,0.15,0.15,0.15,0.15,570,1686,1725,610,828,2088,2313,2264,2149,8,8,0,86.44,86.54,34.58,1/1/2020 15:00,Ps880
0.75,0.53,0.77,0.82,0.75,0.34,1429,548,711,1731,1967,1873,1914,0.15,0.15,0.15,0.15,629.5,1849,1893.5,672,910,2283,2530,2479,2350,8,8,0,86.44,86.54,34.58,1/1/2020 15:20,Ps880
0.75,0.53,0.77,0.82,0.75,0.34,1428,550,714,1728,1960,1871,1906,0.15,0.15,0.15,0.15,632,1844,1888.5,671,909,2270,2516,2466,2336,8,8,0,86.44,86.54,34.58,1/1/2020 15:40,Ps880
0.75,0.53,0.77,0.83,0.75,0.35,1260,485,629,1517,1719,1643,1671,0.15,0.15,0.15,0.15,557,1618,1657,589,799,1987,2203,2160,2045,8,8,0,86.44,86.54,34.58,1/1/2020 16:00,Ps880
